epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,943.795,1.06266,0.69199,0.99893,0.81629,0.87238,0.86772,0.53609,1.21272,0.83435,1.0935,0.0002476,0.0002476,0.0002476
78,956.15,1.06552,0.67607,0.99272,0.83491,0.84819,0.86878,0.54263,1.19781,0.81521,1.08775,0.0002377,0.0002377,0.0002377
79,968.345,1.0459,0.67957,0.99203,0.84398,0.86068,0.87683,0.54974,1.18643,0.774,1.08363,0.0002278,0.0002278,0.0002278
80,980.694,1.04411,0.67396,0.98758,0.80424,0.84444,0.86792,0.54249,1.19161,0.82493,1.08697,0.0002179,0.0002179,0.0002179
81,992.668,1.03999,0.65979,0.98831,0.86095,0.85185,0.89586,0.55438,1.20473,0.79571,1.08594,0.000208,0.000208,0.000208
82,1005.37,1.04757,0.65354,0.99048,0.84414,0.8662,0.87911,0.54568,1.19261,0.79803,1.07766,0.0001981,0.0001981,0.0001981
83,1017.45,1.02904,0.65763,0.98256,0.84691,0.84397,0.87477,0.54552,1.2026,0.79774,1.08568,0.0001882,0.0001882,0.0001882
84,1029.57,1.01816,0.64993,0.98103,0.84115,0.83704,0.86596,0.54491,1.21083,0.79549,1.09723,0.0001783,0.0001783,0.0001783
85,1041.62,1.02275,0.65938,0.98856,0.84986,0.85641,0.87363,0.53724,1.20988,0.80017,1.09915,0.0001684,0.0001684,0.0001684
86,1054.17,1.01403,0.64855,0.98351,0.86407,0.82778,0.88451,0.54894,1.2033,0.80321,1.1042,0.0001585,0.0001585,0.0001585
87,1065.98,1.00527,0.63595,0.97511,0.85682,0.87309,0.88765,0.55059,1.21624,0.79441,1.09729,0.0001486,0.0001486,0.0001486
88,1078.47,1.00683,0.63828,0.97852,0.83985,0.84089,0.87356,0.5457,1.19556,0.80854,1.09954,0.0001387,0.0001387,0.0001387
89,1090.62,1.00659,0.62478,0.97564,0.83554,0.87533,0.88302,0.54966,1.2151,0.78383,1.10424,0.0001288,0.0001288,0.0001288
90,1102.99,0.99177,0.62807,0.97573,0.83494,0.86852,0.88631,0.54433,1.21145,0.79947,1.10286,0.0001189,0.0001189,0.0001189
91,1116.8,0.97064,0.60848,0.96619,0.86029,0.84735,0.89339,0.54937,1.21244,0.78514,1.10458,0.000109,0.000109,0.000109
92,1128.76,0.94992,0.6003,0.96172,0.85737,0.8347,0.88264,0.5488,1.21308,0.80598,1.10359,9.91e-05,9.91e-05,9.91e-05
93,1140.56,0.93008,0.5836,0.95574,0.86406,0.8537,0.88211,0.54399,1.21528,0.79219,1.10171,8.92e-05,8.92e-05,8.92e-05
94,1151.85,0.91472,0.57257,0.95285,0.84644,0.8775,0.89731,0.55525,1.20061,0.76831,1.10207,7.93e-05,7.93e-05,7.93e-05
95,1163.95,0.91294,0.5685,0.94876,0.82265,0.86667,0.87588,0.54267,1.19622,0.81184,1.09563,6.94e-05,6.94e-05,6.94e-05
96,1175.72,0.91988,0.57147,0.95767,0.84891,0.8807,0.8903,0.55898,1.19219,0.77874,1.1033,5.95e-05,5.95e-05,5.95e-05
97,1187.98,0.91369,0.56559,0.94967,0.83309,0.88495,0.88498,0.55965,1.19946,0.78386,1.10756,4.96e-05,4.96e-05,4.96e-05
98,1200.01,0.91511,0.55855,0.95505,0.84763,0.87963,0.8887,0.55882,1.2075,0.77092,1.1061,3.97e-05,3.97e-05,3.97e-05
99,1211.61,0.91445,0.55751,0.95296,0.85409,0.86997,0.88623,0.55568,1.20205,0.77783,1.10209,2.98e-05,2.98e-05,2.98e-05
100,1223.45,0.90078,0.5528,0.95365,0.86203,0.87778,0.88932,0.55771,1.19749,0.76287,1.09997,1.99e-05,1.99e-05,1.99e-05
